GRANT_CARD_CODE,TAP_IN,TAP_OUT,TIME_IN,TIME_OUT
83055962,81,43,529,582
89668860,62,35,412,442
46856810,133,44,538,579
69007979,57,38,362,398
54106961,41,46,906,928
83725140,163,47,429,461
31114926,44,37,1168,1195
78860099,19,41,1181,1195
13752078,157,46,1154,1175
83360533,72,48,830,849
15563691,126,35,370,410
47720714,77,44,535,592
14837521,96,50,554,596
69788010,21,50,782,814
51099715,147,40,684,723
1161145,201,35,440,474
47465816,43,46,554,571
12541435,22,46,1104,1131
667182,129,39,1082,1129
65581406,65,35,532,558
47119118,44,35,1073,1095
39304827,175,45,396,475
52299492,111,43,977,1027
43588499,36,35,1086,1094
48891414,49,46,444,454
14465123,47,35,1076,1090
79814558,77,45,437,472
1921929,38,45,451,471
75228713,65,36,473,517
48307487,148,37,728,774
4014065,95,35,673,722
60040530,116,38,545,570
78599627,231,40,1091,1128
53109420,203,35,986,1028
18488451,164,260,1054,1105
42532474,255,262,1372,1410
25043133,193,263,395,480
51329807,108,262,1077,1111
82567886,203,262,1194,1292
2108108,124,254,883,930
45472777,266,262,487,502
16349201,22,265,765,844
88934051,226,253,1261,1287
26232996,261,254,1059,1097
48997602,252,254,1087,1097
54397101,258,262,1030,1050
71658024,249,263,440,480
17088178,217,261,1053,1097
34859421,221,262,1045,1111
12579452,263,258,462,487
18136608,255,256,1022,1031
52656644,91,261,747,837
31052162,216,248,1113,1139
43652592,265,254,474,529
83472584,261,255,495,528
12623019,240,254,491,548
32172698,228,248,501,530
19118105,216,248,1356,1368
88270676,231,265,1033,1111
44539585,254,265,1057,1110
6446803,254,257,945,975
12246583,112,248,728,765
68629205,86,266,647,774
50857229,253,265,1109,1166
75176985,228,248,548,584
78828118,261,253,423,465
12691966,130,258,1029,1122
64708451,42,254,1083,1130
51079497,43,253,501,558
49705625,216,226,958,973
87819388,21,43,736,753
2345100,44,50,1170,1188
21719250,273,37,760,835
18384558,107,44,569,591
74454883,225,46,820,835
20924992,12,35,820,832
50554185,36,41,1177,1194
14725390,129,44,431,460
39794644,109,50,562,593
1877025,37,42,1154,1194
11157892,21,35,969,1011
47710212,103,48,649,661
72147645,44,46,1188,1195
44246816,35,38,725,738
48551823,49,36,828,845
49866415,228,44,539,582
65824971,46,43,929,946
50342247,252,45,798,848
62341805,130,43,805,846
36353816,50,44,562,578
16277608,163,46,498,558
79282692,50,46,1115,1129
14699277,157,35,438,460
69060769,163,38,423,467
42725076,37,40,1075,1094
43548360,126,47,1108,1137
54483851,117,42,1098,1129
52674178,35,38,452,467
26699300,43,35,690,726
87866828,51,43,506,569
84694536,63,45,472,513
15255559,199,48,965,1021
82209468,66,35,1069,1094
52269549,113,45,477,515
3107343,178,45,398,475
34649805,160,46,1099,1127
53714928,124,46,534,558
54475018,266,263,488,503
45257340,108,256,1354,1362
31992847,246,262,1074,1112
17025098,245,261,1063,1097
72042707,45,264,1105,1174
13344013,256,252,592,616
25781369,19,252,1115,1167
80956239,21,264,1110,1174
61644361,203,266,1099,1207
28119759,255,264,1038,1084
13983605,262,265,594,609
16302902,110,263,429,481
15609950,248,260,1119,1139
83274822,59,253,558,646
82326872,253,248,511,535
37984710,106,256,1077,1097
11629940,146,252,1090,1167
83944718,227,262,1073,1111
18474308,266,252,1210,1274
74667381,248,254,1058,1078
18942195,126,226,591,636
16537361,213,253,1096,1130
39550661,242,252,458,518
49384201,163,108,728,754
68942615,254,252,512,518
60790261,193,265,875,988
25493259,245,266,1330,1385
16972065,163,255,531,558
87688810,247,255,1261,1286
85537745,258,265,1068,1096
80342798,262,253,912,957
34722371,95,265,900,987
49188082,261,253,463,506
88917556,255,253,619,629
19040867,48,265,1040,1112
34460867,163,248,547,584
5587683,42,37,424,441
2170654,50,46,422,436
10256876,43,45,581,592
31097102,139,46,383,435
1791187,45,37,570,593
43115420,138,41,448,473
1479402,205,35,987,1032
12535709,35,40,827,846
34099849,231,43,602,662
42775425,245,45,909,945
7630340,12,42,580,595
88128294,39,46,1257,1284
82551746,65,35,631,662
1235747,98,35,812,846
16357137,248,265,1072,1110
66425933,96,160,805,864
13903417,46,253,1109,1150
49902702,252,264,1151,1209
44485645,252,265,1001,1061
85953406,246,264,1159,1209
2099908,248,252,1076,1102
14115590,270,226,1119,1176
75204829,261,257,431,450
80420607,95,253,1091,1150
54311626,243,260,1207,1244
35828438,254,248,1081,1099
86715741,261,248,352,377
18583989,265,248,1062,1107
13672727,115,264,1026,1123
16719409,170,248,846,898
11073313,195,266,584,685
42501356,43,160,643,682
84609391,247,266,1115,1159
38722375,266,264,667,682
83253469,264,260,456,475
50578155,216,266,1102,1153
28403883,207,254,846,906
46611992,228,160,616,645
60573214,108,261,1094,1127
52164829,260,266,1088,1125
23436513,263,252,842,895
13974872,170,265,846,940
51364106,229,260,424,474
81666300,220,265,1275,1349
19203423,248,252,1268,1297
54281079,267,248,635,683
85947518,265,248,869,906
46664101,75,258,1286,1348
48015907,213,253,747,797
15610182,258,248,525,537
36489167,146,266,632,718
74965333,69,226,1098,1151
43896343,38,253,538,590
54643586,249,253,460,491
6488599,109,265,1057,1110
68160668,248,264,1001,1040
15919184,262,248,510,537
16277326,49,264,971,1040
48192236,255,262,1065,1101
84666825,249,265,1061,1110
74552554,42,258,1050,1107
85768995,46,226,808,830
49953547,248,258,1286,1301
39492785,226,263,1183,1216
87354007,228,226,1242,1271
67174028,124,255,529,569
6116954,75,265,932,1011
52318623,147,258,607,651
69127658,265,254,627,682
