1,17,39,30,22,11,9,10,7,7,12,19,19,17,11,5,7,0
0,7,23,12,19,8,18,17,15,12,17,19,51,63,19,10,12,8
1,5,12,11,5,8,7,6,5,14,10,22,20,17,9,3,6,1
0,5,26,13,15,5,10,15,9,9,13,17,28,22,9,15,7,5
0,5,16,15,8,9,12,13,12,10,5,28,21,17,5,4,4,0
0,2,10,10,7,7,15,27,27,26,33,52,30,17,6,2,2,1
1,7,23,18,15,9,9,19,17,19,8,26,46,38,16,12,7,3
3,4,36,46,26,29,21,21,26,28,16,25,41,60,13,17,11,7
2,15,73,63,26,14,24,33,15,24,31,27,52,67,15,16,17,6
1,10,35,17,19,6,18,27,32,30,33,35,47,90,32,20,17,5
1,3,22,19,13,21,38,37,33,30,25,35,67,110,36,15,14,0
0,7,25,41,13,6,5,4,8,7,7,8,35,28,9,8,8,1
1,7,37,35,14,3,9,5,8,2,8,11,17,10,4,3,0,1
1,13,57,50,20,9,13,11,22,16,11,11,16,10,4,8,4,1
4,22,71,73,53,18,17,19,13,13,25,22,18,22,7,5,6,1
4,35,93,76,20,13,6,8,10,9,9,8,13,15,5,11,2,0
1,8,15,4,1,1,1,4,3,3,0,2,2,3,2,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,20,11,9,7,4,15,7,2,8,5,13,12,8,5,0,0
5,28,47,30,23,17,10,10,19,11,3,11,17,15,8,9,1,0
3,7,30,9,18,8,16,16,7,5,9,7,12,8,2,2,0,0
1,4,11,6,4,4,7,5,7,10,5,6,9,11,5,6,0,2
1,3,8,12,6,5,14,5,5,7,9,7,24,5,5,0,0,0
0,8,18,7,4,2,4,3,4,1,1,4,4,1,0,2,0,0
0,15,58,22,13,4,11,8,10,3,3,11,12,7,3,3,2,0
3,22,80,42,14,9,10,11,10,6,8,8,10,7,3,7,4,0
3,17,30,15,8,3,4,5,3,1,2,1,1,2,3,2,3,0
1,7,20,14,9,4,3,5,6,2,3,7,7,3,0,0,0,0
13,66,273,223,73,36,36,29,31,20,24,28,26,37,8,5,12,4
2,59,200,156,65,35,22,39,31,24,24,27,40,34,9,18,4,3
1,27,180,141,70,22,12,15,17,12,9,16,27,24,5,4,7,5
0,16,77,38,15,16,4,16,11,6,17,14,31,20,8,2,1,1
0,6,18,17,20,16,10,17,15,10,12,11,21,20,8,5,4,3
0,0,8,7,9,7,11,12,10,14,26,32,47,48,10,13,8,5
2,2,15,16,9,7,15,19,7,14,18,29,33,29,6,9,2,2
0,7,7,14,5,6,2,4,6,7,8,9,15,20,4,5,6,1
2,1,23,17,12,4,6,7,8,6,12,12,19,18,7,13,7,0
1,10,60,45,18,21,9,13,12,10,15,19,32,25,11,16,2,1
1,12,57,39,27,14,19,12,17,16,20,15,44,28,12,10,4,1
1,26,82,67,34,7,11,18,11,12,14,15,18,16,6,10,1,2
7,29,101,80,32,16,13,33,25,22,21,34,55,51,17,9,4,0
3,7,48,40,29,11,12,20,19,12,15,10,29,32,6,13,4,2
1,29,101,54,41,19,24,20,26,16,22,15,26,29,9,11,5,3
6,36,136,85,34,8,11,17,10,6,13,7,16,14,4,7,3,1
5,32,105,126,47,14,16,23,12,12,10,12,6,19,6,5,6,0
10,26,78,91,33,13,10,17,12,13,8,6,13,5,1,7,4,0
38,101,266,187,122,38,18,38,24,26,15,4,17,12,9,15,5,0
15,124,250,185,88,43,51,26,41,28,20,17,18,16,16,8,5,1
5,50,206,174,79,31,25,24,22,29,27,28,61,52,15,13,12,3
0,7,63,56,17,3,9,7,10,6,6,3,12,6,3,2,1,2
4,13,57,50,19,9,15,18,16,17,14,13,47,33,6,9,3,0
0,9,45,40,11,12,11,12,13,10,17,27,43,37,11,10,5,1
1,8,33,25,7,7,6,13,13,16,8,18,22,19,8,5,5,1
1,1,14,9,8,5,17,7,9,5,15,37,24,21,7,7,5,2
0,4,6,14,11,12,7,12,10,12,26,13,19,18,4,14,9,4
0,8,35,27,22,21,28,21,28,32,34,46,91,94,49,28,16,5
2,5,33,39,29,14,17,19,22,14,27,27,71,105,23,20,14,5
6,20,64,70,32,17,16,23,11,14,8,12,35,40,15,17,6,0
4,43,151,69,67,37,22,23,24,27,11,16,39,29,17,11,10,3
5,45,199,94,102,37,23,35,37,26,23,20,39,57,21,16,11,8
4,34,116,86,66,20,10,12,15,18,9,7,11,13,4,2,1,1
8,42,129,110,65,21,19,17,13,10,15,12,11,10,10,0,2,2
9,64,141,123,57,25,11,25,16,17,12,14,12,17,13,9,6,1
14,60,174,144,104,59,20,24,25,17,13,20,26,21,4,15,7,1
0,31,136,87,40,16,15,11,21,18,18,10,17,14,4,3,1,1
1,9,39,21,21,3,6,3,5,6,3,2,2,1,0,1,0,0
3,43,124,57,33,12,13,12,7,10,6,5,5,2,2,4,3,0
0,8,15,13,2,1,1,2,1,0,0,0,0,0,0,0,0,0
2,5,17,9,5,2,4,4,0,1,2,2,3,3,1,0,0,0
2,14,59,27,8,5,6,0,3,3,1,1,4,2,2,1,1,0
12,27,30,40,34,35,58,30,33,36,46,39,30,55,31,25,21,10
1,9,48,32,15,10,11,10,9,9,10,13,25,18,6,4,3,1
2,18,73,50,22,9,9,8,8,8,5,6,12,15,7,7,2,3
1,5,16,17,21,6,17,15,10,11,18,18,24,18,7,5,4,0
0,1,2,3,4,2,4,2,5,2,6,7,4,2,3,2,1,0
0,1,3,3,2,6,2,2,7,8,5,7,15,5,4,2,1,0
0,6,8,10,2,5,1,4,5,2,1,1,7,3,0,4,0,0
0,13,32,17,16,9,4,9,7,8,14,11,15,12,9,7,3,5
0,6,12,13,8,3,3,8,3,7,6,9,7,8,2,2,0,2
1,11,67,52,29,11,16,22,19,17,18,18,30,32,14,9,9,7
0,4,19,15,16,7,4,10,6,5,7,6,10,21,5,1,0,0
1,5,13,8,6,1,5,3,8,2,10,12,13,16,7,2,1,0
0,9,16,24,13,10,2,4,11,10,7,6,13,17,2,2,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0
3,10,21,25,15,5,1,6,7,7,4,3,5,7,4,2,0,1
3,12,52,37,13,5,10,10,8,5,3,7,7,5,5,2,1,1
1,19,43,30,11,1,3,3,2,0,0,3,2,0,0,1,0,0
3,7,19,12,7,2,3,2,3,2,0,2,2,0,1,0,0,0
0,1,5,6,4,1,4,5,11,6,10,7,11,14,9,16,8,3
0,6,25,13,6,3,2,1,7,3,2,2,7,7,2,3,1,0
0,16,79,60,19,11,9,23,19,18,17,15,48,29,9,7,1,0
0,5,28,24,10,4,4,7,2,4,1,7,12,16,4,0,2,0
0,0,2,2,0,2,2,17,8,5,10,9,13,14,7,3,4,1
1,5,29,13,12,5,13,11,10,11,5,12,29,24,9,16,8,2
0,0,6,4,3,3,4,0,1,2,4,4,6,2,1,2,1,0
2,13,49,16,17,13,5,8,5,4,5,4,26,7,3,1,1,0
7,45,131,75,47,13,15,10,6,6,8,9,15,17,4,1,0,0
0,8,33,26,15,5,6,5,5,2,3,0,17,7,3,1,0,1
2,33,108,89,45,19,23,11,15,11,7,10,9,16,2,11,2,0
1,51,139,143,53,27,18,3,14,9,8,9,8,4,8,4,4,0
10,28,146,109,46,5,10,13,10,7,7,3,5,3,6,5,2,0
4,15,40,19,14,2,5,3,0,2,2,1,7,1,4,1,0,0
1,9,26,20,12,2,11,3,3,1,5,3,4,5,2,1,0,0
7,36,94,45,16,11,12,14,6,7,4,4,5,8,2,1,1,0
4,28,24,11,3,6,6,5,4,7,3,3,3,3,2,1,1,0
1,6,11,4,0,1,3,2,1,4,3,3,1,1,4,1,0,0
1,14,24,9,6,0,1,2,1,1,0,0,1,1,0,0,1,0
0,1,3,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0
2,12,6,6,2,2,1,1,1,0,1,0,1,0,1,1,0,0
0,8,18,4,1,2,1,2,3,0,0,0,2,0,0,0,0,0
2,11,27,14,4,3,0,3,1,1,0,1,0,2,1,0,0,0
10,44,75,27,8,4,16,4,7,1,6,3,4,3,2,3,0,0
2,8,17,7,0,1,3,0,1,0,2,0,0,1,0,0,0,0
2,3,6,9,1,3,1,1,1,3,7,1,2,2,0,1,0,0
