0,2,0,13,29,46,29,22,10,23,23,25,33,24,29,23,10,24,29,25,34,29,47,38,65,117,126,87,37,17,21,17,19,8,16,1
1,1,1,4,12,19,18,13,7,7,13,9,11,16,23,13,14,24,18,17,21,14,18,21,37,77,101,76,38,19,22,8,13,9,4,1
2,1,12,21,47,86,63,54,18,38,25,31,17,47,56,19,29,37,31,26,32,41,34,38,39,100,106,66,43,26,31,24,21,14,4,3
4,6,10,27,75,92,61,54,32,18,28,26,22,31,29,30,32,29,40,32,18,36,43,27,47,81,96,88,46,24,23,18,14,11,13,1
0,1,11,19,46,80,62,44,32,31,17,18,11,12,19,14,14,21,17,16,5,13,16,14,19,42,46,20,23,15,3,12,3,1,2,1
0,1,8,27,31,60,94,31,29,11,16,14,13,13,15,9,9,7,7,8,9,11,4,8,10,30,29,36,10,3,11,5,3,2,1,0
0,0,1,5,3,4,11,5,7,6,2,1,1,10,2,5,4,3,3,5,4,2,7,4,3,10,15,13,3,5,2,4,2,1,0,1
1,8,9,21,48,42,37,22,26,11,8,7,7,14,6,8,18,6,10,10,3,6,2,3,8,4,2,7,3,5,3,4,2,3,0,0
0,4,18,38,49,45,35,29,40,14,6,9,7,12,8,8,14,3,5,6,10,6,8,2,9,7,8,10,8,8,3,6,4,1,1,0
3,4,6,30,51,43,31,21,28,7,9,11,4,11,7,6,6,11,8,6,4,5,5,3,2,12,6,5,1,0,0,3,1,0,0,0
2,1,5,11,24,16,11,13,6,2,1,1,0,4,4,3,1,0,1,2,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0
1,4,6,29,56,49,32,24,17,8,11,6,7,5,7,3,3,8,9,5,2,6,3,1,6,4,6,7,1,0,1,5,3,1,0,1
2,7,11,32,48,52,45,30,24,9,14,5,3,3,4,8,2,0,3,1,2,4,4,3,3,0,1,0,0,3,2,1,1,0,0,0
2,4,7,19,33,32,15,13,13,5,3,4,5,6,2,3,4,5,5,1,3,5,2,2,2,2,5,3,3,0,2,3,0,0,0,0
2,3,21,45,60,50,25,28,16,6,10,4,4,8,3,6,9,7,1,7,2,4,1,3,4,1,5,2,0,1,0,2,0,1,1,0
2,5,18,21,16,32,10,10,11,6,5,2,2,1,5,3,2,0,1,0,1,1,0,1,4,3,3,1,0,0,0,0,1,0,0,0
2,5,7,52,56,61,23,48,19,9,8,3,10,9,6,8,5,10,3,2,3,3,7,0,3,7,3,5,5,3,2,2,1,1,0,0
13,9,15,34,98,138,143,83,58,65,69,41,29,59,59,55,56,72,53,37,37,54,45,75,81,127,143,86,48,32,32,39,34,25,15,2
2,1,6,22,33,84,41,26,16,20,18,15,11,23,23,36,21,14,22,13,27,43,23,47,48,88,126,46,27,11,13,20,5,11,1,1
4,4,14,31,57,109,81,65,53,41,27,43,43,50,61,44,42,58,33,34,57,53,66,83,133,209,244,144,43,38,47,38,27,20,20,3
7,13,44,100,160,336,211,176,115,81,73,44,26,41,45,40,37,55,31,39,38,61,62,70,72,124,116,75,37,26,18,16,12,5,9,3
6,4,4,16,58,124,89,89,29,27,21,22,19,27,28,32,28,30,26,21,23,23,29,26,42,66,61,41,23,12,23,22,10,5,9,0
2,2,7,26,42,103,72,75,34,28,17,33,13,12,22,11,12,13,14,15,14,24,26,39,31,33,40,16,8,6,9,8,7,5,3,2
7,5,11,22,46,79,76,55,49,39,25,28,23,26,50,31,38,34,31,48,36,44,33,46,35,35,50,26,22,9,14,20,10,13,2,1
3,5,9,22,84,167,130,113,52,59,51,46,49,41,81,46,42,60,38,46,57,76,53,72,73,108,90,67,35,23,35,33,36,17,19,1
40,28,27,53,42,93,31,55,48,54,58,83,46,62,70,47,60,69,43,50,61,89,33,54,50,101,101,78,33,27,53,24,16,30,15,12
1,2,6,13,34,83,40,47,12,24,29,35,32,28,51,49,41,48,51,58,51,68,52,83,126,179,203,165,86,63,47,42,35,26,18,4
1,0,5,16,39,60,34,37,15,40,29,19,37,42,45,33,26,36,52,36,39,45,46,49,77,168,190,140,70,30,41,40,29,15,16,3
